config,model,smoothing,latency_ms,accuracy,gain_pts,macro_f1
align,ExtraTrees,none,0.0,0.8138272200772201,0.0,0.8191418127074118
align,ExtraTrees,vote_3,200.0,0.8275820463320464,1.375482625482627,0.8325859519545289
align,ExtraTrees,proba_3,200.0,0.8442326254826255,3.0405405405405372,0.8491008883474097
align,ExtraTrees,vote_5,400.0,0.8439913127413128,3.01640926640927,0.8485736002609613
align,ExtraTrees,proba_5,400.0,0.8677606177606177,5.393339768339766,0.8716405995457434
align,ExtraTrees,vote_7,600.0,0.8634169884169884,4.958976833976836,0.8672956736147172
align,ExtraTrees,proba_7,600.0,0.8914092664092664,7.758204633204635,0.8945164490287557
align,ExtraTrees,oracle_repetition,0.0,0.9854005791505791,17.157335907335902,0.9856063437672153
align,HistGB,none,0.0,0.7969353281853282,0.0,0.8007554636420481
align,HistGB,vote_3,200.0,0.8202220077220077,2.328667953667951,0.8238504322662181
align,HistGB,proba_3,200.0,0.8385617760617761,4.162644787644787,0.8425071515831196
align,HistGB,vote_5,400.0,0.8540057915057915,5.707046332046328,0.8572171516685981
align,HistGB,proba_5,400.0,0.8689671814671814,7.203185328185324,0.8722022414455161
align,HistGB,vote_7,600.0,0.8821187258687259,8.518339768339766,0.8847543398229538
align,HistGB,proba_7,600.0,0.8946669884169884,9.773166023166024,0.8970559629249072
align,HistGB,oracle_repetition,0.0,0.9833494208494209,18.64140926640927,0.9837443021156926
