config,model,smoothing,latency_ms,accuracy,gain_pts,macro_f1
dwtabs,ExtraTrees,none,0.0,0.8137065637065637,0.0,0.8177939565076757
dwtabs,ExtraTrees,vote_3,200.0,0.8267374517374517,1.3030888030888033,0.8305198489313047
dwtabs,ExtraTrees,proba_3,200.0,0.8429054054054054,2.919884169884168,0.8464889750861264
dwtabs,ExtraTrees,vote_5,400.0,0.8413368725868726,2.763030888030893,0.8449524126892354
dwtabs,ExtraTrees,proba_5,400.0,0.8599179536679536,4.6211389961389955,0.8629856714067815
dwtabs,ExtraTrees,vote_7,600.0,0.8604005791505791,4.669401544401541,0.8635188802951905
dwtabs,ExtraTrees,proba_7,600.0,0.8822393822393823,6.853281853281857,0.8846394081015867
dwtabs,ExtraTrees,oracle_repetition,0.0,0.9757480694980695,16.20415057915058,0.9762258543084531
dwtabs,HistGB,none,0.0,0.8006756756756757,0.0,0.8044032107262789
dwtabs,HistGB,vote_3,200.0,0.8201013513513513,1.9425675675675658,0.8234810492350141
dwtabs,HistGB,proba_3,200.0,0.8368725868725869,3.6196911196911263,0.8402578510415794
dwtabs,HistGB,vote_5,400.0,0.8425434362934363,4.186776061776065,0.8458941504991557
dwtabs,HistGB,proba_5,400.0,0.8604005791505791,5.972490347490345,0.863316711916165
dwtabs,HistGB,vote_7,600.0,0.8637789575289575,6.310328185328185,0.8665668197454358
dwtabs,HistGB,proba_7,600.0,0.8823600386100386,8.168436293436299,0.8848033438679362
dwtabs,HistGB,oracle_repetition,0.0,0.981418918918919,18.07432432432433,0.9821848721919025
