fold,LDA,SVM,RF,ExtraTrees
0,0.4984350547730829,0.5422535211267606,0.689358372456964,0.6838810641627543
1,0.5363079615048119,0.5713035870516185,0.7139107611548556,0.7384076990376203
2,0.5591397849462365,0.6013234077750207,0.7196029776674938,0.7361455748552522
3,0.5291181364392679,0.5840266222961731,0.7221297836938436,0.7329450915141431
4,0.5091926458832934,0.5603517186250999,0.709832134292566,0.7290167865707434
5,0.5241016652059597,0.5696757230499562,0.7134092900964066,0.7510955302366346
6,0.5230891719745223,0.552547770700637,0.7285031847133758,0.7643312101910829
7,0.5270851246775581,0.5898538263112639,0.7480653482373173,0.7523645743766122
8,0.564822460776218,0.6102394715111478,0.772914946325351,0.7976878612716763
9,0.4958471760797342,0.5498338870431894,0.6943521594684385,0.7350498338870431
