fold,LDA,SVM,RF,ExtraTrees
0,0.6534541336353341,0.7576443941109853,0.8323895809739524,0.8323895809739524
1,0.5917602996254682,0.7602996254681648,0.8614232209737828,0.8664169787765293
2,0.5227790432801822,0.724373576309795,0.8018223234624146,0.837129840546697
3,0.6221142162818954,0.8201701093560145,0.8529769137302552,0.8699878493317132
4,0.6573511543134872,0.7946537059538274,0.8298906439854192,0.8554070473876063
5,0.5384615384615384,0.7802197802197802,0.8620268620268621,0.8656898656898657
6,0.7040816326530612,0.8303571428571429,0.8558673469387755,0.8724489795918368
7,0.6577344701583435,0.8087697929354446,0.8477466504263094,0.8672350791717418
8,0.5937888198757764,0.7527950310559006,0.8459627329192546,0.8782608695652174
9,0.5135135135135135,0.7285546415981199,0.7884841363102233,0.8202115158636898
