fold,LDA,SVM,RF,ExtraTrees
0,0.6647791619479049,0.7576443941109853,0.8040770101925255,0.82559456398641
1,0.6941323345817728,0.7690387016229713,0.83645443196005,0.846441947565543
2,0.6321184510250569,0.7539863325740319,0.7892938496583144,0.8189066059225513
3,0.6998784933171325,0.7837181044957473,0.8250303766707169,0.8432563791008505
4,0.7095990279465371,0.7946537059538274,0.8153098420413123,0.8383961117861483
5,0.6483516483516484,0.7496947496947497,0.8376068376068376,0.8571428571428571
6,0.7283163265306123,0.8099489795918368,0.8418367346938775,0.8711734693877551
7,0.7113276492082826,0.7904993909866017,0.8404384896467723,0.8416565164433617
8,0.6322981366459627,0.760248447204969,0.8211180124223603,0.853416149068323
9,0.5840188014101058,0.7379553466509988,0.7743830787309048,0.7896592244418331
