fold,LDA,SVM,RF,ExtraTrees
0,0.6308040770101925,0.7010192525481314,0.8165345413363534,0.8391845979614949
1,0.66167290886392,0.7253433208489388,0.8264669163545568,0.8514357053682896
2,0.5546697038724373,0.6890660592255126,0.784738041002278,0.8052391799544419
3,0.6403402187120292,0.6974483596597812,0.8068043742405833,0.8347509113001215
4,0.6731470230862697,0.732685297691373,0.8347509113001215,0.8602673147023087
5,0.590964590964591,0.6727716727716728,0.811965811965812,0.8388278388278388
6,0.639030612244898,0.7040816326530612,0.8112244897959183,0.8354591836734694
7,0.6224116930572473,0.656516443361754,0.8063337393422655,0.833130328867235
8,0.5962732919254659,0.7316770186335404,0.8037267080745342,0.8372670807453416
9,0.535840188014101,0.6580493537015276,0.72737955346651,0.7708578143360753
