fold,LDA,SVM,RF,ExtraTrees
0,0.6308040770101925,0.7349943374858438,0.8187995469988675,0.8391845979614949
1,0.66167290886392,0.7465667915106118,0.8289637952559301,0.8514357053682896
2,0.5546697038724373,0.7027334851936219,0.7767653758542141,0.8052391799544419
3,0.6403402187120292,0.7278250303766707,0.8165249088699879,0.8347509113001215
4,0.6731470230862697,0.772782503037667,0.8396111786148238,0.8602673147023087
5,0.590964590964591,0.7008547008547008,0.8168498168498168,0.8388278388278388
6,0.639030612244898,0.7397959183673469,0.8112244897959183,0.8354591836734694
7,0.6224116930572473,0.6894031668696712,0.805115712545676,0.833130328867235
8,0.5962732919254659,0.7788819875776397,0.8062111801242235,0.8372670807453416
9,0.535840188014101,0.7038777908343126,0.7297297297297297,0.7708578143360753
