model,subject,accuracy,normalisation
LDA,1,0.4756380510440835,raw
LDA,2,0.4966974900924703,raw
LDA,3,0.26855600539811064,raw
LDA,4,0.217787913340935,raw
LDA,5,0.44946492271105826,raw
LDA,6,0.3389121338912134,raw
LDA,7,0.39595719381688466,raw
LDA,8,0.24238578680203046,raw
LDA,9,0.24408468244084683,raw
LDA,10,0.2944038929440389,raw
SVM,1,0.47215777262180975,raw
SVM,2,0.5733157199471598,raw
SVM,3,0.22672064777327935,raw
SVM,4,0.2976054732041049,raw
SVM,5,0.45422116527942924,raw
SVM,6,0.32112970711297073,raw
SVM,7,0.450653983353151,raw
SVM,8,0.29441624365482233,raw
SVM,9,0.1432129514321295,raw
SVM,10,0.36253041362530414,raw
RF,1,0.45243619489559167,raw
RF,2,0.5970937912813739,raw
RF,3,0.29554655870445345,raw
RF,4,0.25997719498289623,raw
RF,5,0.4637336504161712,raw
RF,6,0.3807531380753138,raw
RF,7,0.4863258026159334,raw
RF,8,0.22588832487309646,raw
RF,9,0.1569115815691158,raw
RF,10,0.2822384428223844,raw
ExtraTrees,1,0.42923433874709976,raw
ExtraTrees,2,0.5495376486129459,raw
ExtraTrees,3,0.3643724696356275,raw
ExtraTrees,4,0.27366020524515394,raw
ExtraTrees,5,0.4351961950059453,raw
ExtraTrees,6,0.3368200836820084,raw
ExtraTrees,7,0.5053507728894173,raw
ExtraTrees,8,0.25253807106598986,raw
ExtraTrees,9,0.12577833125778332,raw
ExtraTrees,10,0.3029197080291971,raw
LDA,1,0.5765661252900232,subject_norm
LDA,2,0.5693527080581242,subject_norm
LDA,3,0.40350877192982454,subject_norm
LDA,4,0.28848346636259975,subject_norm
LDA,5,0.5945303210463734,subject_norm
LDA,6,0.5073221757322176,subject_norm
LDA,7,0.4827586206896552,subject_norm
LDA,8,0.2703045685279188,subject_norm
LDA,9,0.22415940224159403,subject_norm
LDA,10,0.402676399026764,subject_norm
SVM,1,0.5197215777262181,subject_norm
SVM,2,0.618229854689564,subject_norm
SVM,3,0.31983805668016196,subject_norm
SVM,4,0.32839224629418473,subject_norm
SVM,5,0.5897740784780023,subject_norm
SVM,6,0.48535564853556484,subject_norm
SVM,7,0.5160523186682521,subject_norm
SVM,8,0.3413705583756345,subject_norm
SVM,9,0.22166874221668742,subject_norm
SVM,10,0.3978102189781022,subject_norm
RF,1,0.5197215777262181,subject_norm
RF,2,0.6499339498018494,subject_norm
RF,3,0.48313090418353577,subject_norm
RF,4,0.346636259977195,subject_norm
RF,5,0.6147443519619501,subject_norm
RF,6,0.49476987447698745,subject_norm
RF,7,0.5338882282996433,subject_norm
RF,8,0.2956852791878173,subject_norm
RF,9,0.26525529265255293,subject_norm
RF,10,0.3491484184914842,subject_norm
ExtraTrees,1,0.5290023201856149,subject_norm
ExtraTrees,2,0.6512549537648613,subject_norm
ExtraTrees,3,0.5101214574898786,subject_norm
ExtraTrees,4,0.33979475484606614,subject_norm
ExtraTrees,5,0.6076099881093936,subject_norm
ExtraTrees,6,0.497907949790795,subject_norm
ExtraTrees,7,0.5659928656361475,subject_norm
ExtraTrees,8,0.366751269035533,subject_norm
ExtraTrees,9,0.24782067247820672,subject_norm
ExtraTrees,10,0.3564476885644769,subject_norm
