model,subject,accuracy,normalisation
LDA,1,0.5626450116009281,raw
LDA,2,0.6565389696169088,raw
LDA,3,0.6572199730094467,raw
LDA,4,0.5347776510832383,raw
LDA,5,0.5101070154577884,raw
LDA,6,0.5167364016736402,raw
LDA,7,0.6480380499405469,raw
LDA,8,0.47081218274111675,raw
LDA,9,0.5317559153175592,raw
LDA,10,0.4172749391727494,raw
SVM,1,0.5069605568445475,raw
SVM,2,0.6961690885072656,raw
SVM,3,0.581646423751687,raw
SVM,4,0.556442417331813,raw
SVM,5,0.48989298454221164,raw
SVM,6,0.5387029288702929,raw
SVM,7,0.6064209274673008,raw
SVM,8,0.4619289340101523,raw
SVM,9,0.6002490660024906,raw
SVM,10,0.43552311435523117,raw
RF,1,0.4709976798143852,raw
RF,2,0.6908850726552179,raw
RF,3,0.48043184885290147,raw
RF,4,0.5860889395667047,raw
RF,5,0.549346016646849,raw
RF,6,0.50418410041841,raw
RF,7,0.6480380499405469,raw
RF,8,0.5418781725888325,raw
RF,9,0.7110834371108343,raw
RF,10,0.4391727493917275,raw
ExtraTrees,1,0.4709976798143852,raw
ExtraTrees,2,0.6750330250990753,raw
ExtraTrees,3,0.5020242914979757,raw
ExtraTrees,4,0.5997719498289624,raw
ExtraTrees,5,0.539833531510107,raw
ExtraTrees,6,0.5094142259414226,raw
ExtraTrees,7,0.6444708680142688,raw
ExtraTrees,8,0.5253807106598984,raw
ExtraTrees,9,0.6226650062266501,raw
ExtraTrees,10,0.43309002433090027,raw
LDA,1,0.5661252900232019,subject_norm
LDA,2,0.71334214002642,subject_norm
LDA,3,0.7125506072874493,subject_norm
LDA,4,0.5883694412770809,subject_norm
LDA,5,0.6242568370986921,subject_norm
LDA,6,0.5585774058577406,subject_norm
LDA,7,0.713436385255648,subject_norm
LDA,8,0.6459390862944162,subject_norm
LDA,9,0.635118306351183,subject_norm
LDA,10,0.4416058394160584,subject_norm
SVM,1,0.5556844547563805,subject_norm
SVM,2,0.7384412153236459,subject_norm
SVM,3,0.7098515519568152,subject_norm
SVM,4,0.5986316989737742,subject_norm
SVM,5,0.5885850178359097,subject_norm
SVM,6,0.5711297071129707,subject_norm
SVM,7,0.6741973840665874,subject_norm
SVM,8,0.5812182741116751,subject_norm
SVM,9,0.6961394769613948,subject_norm
SVM,10,0.5,subject_norm
RF,1,0.5881670533642691,subject_norm
RF,2,0.7225891677675033,subject_norm
RF,3,0.6977058029689609,subject_norm
RF,4,0.6123147092360319,subject_norm
RF,5,0.6706302021403091,subject_norm
RF,6,0.5836820083682008,subject_norm
RF,7,0.7205707491082045,subject_norm
RF,8,0.6129441624365483,subject_norm
RF,9,0.7521793275217933,subject_norm
RF,10,0.5145985401459854,subject_norm
ExtraTrees,1,0.5997679814385151,subject_norm
ExtraTrees,2,0.7212681638044914,subject_norm
ExtraTrees,3,0.7098515519568152,subject_norm
ExtraTrees,4,0.6202964652223489,subject_norm
ExtraTrees,5,0.6563614744351962,subject_norm
ExtraTrees,6,0.5910041841004184,subject_norm
ExtraTrees,7,0.7360285374554102,subject_norm
ExtraTrees,8,0.6104060913705583,subject_norm
ExtraTrees,9,0.7297633872976339,subject_norm
ExtraTrees,10,0.5012165450121655,subject_norm
