model,subject,accuracy,normalisation
LDA,1,0.531322505800464,raw
LDA,2,0.6512549537648613,raw
LDA,3,0.41295546558704455,raw
LDA,4,0.4298745724059293,raw
LDA,5,0.6135552913198573,raw
LDA,6,0.350418410041841,raw
LDA,7,0.5743162901307967,raw
LDA,8,0.4352791878172589,raw
LDA,9,0.6014943960149439,raw
LDA,10,0.36982968369829683,raw
SVM,1,0.49303944315545245,raw
SVM,2,0.7054161162483488,raw
SVM,3,0.3832658569500675,raw
SVM,4,0.39110604332953247,raw
SVM,5,0.5636147443519619,raw
SVM,6,0.37447698744769875,raw
SVM,7,0.539833531510107,raw
SVM,8,0.41243654822335024,raw
SVM,9,0.6226650062266501,raw
SVM,10,0.3564476885644769,raw
RF,1,0.4814385150812065,raw
RF,2,0.6948480845442536,raw
RF,3,0.4507422402159244,raw
RF,4,0.41391106043329534,raw
RF,5,0.6599286563614745,raw
RF,6,0.40585774058577406,raw
RF,7,0.6183115338882283,raw
RF,8,0.40609137055837563,raw
RF,9,0.5666251556662516,raw
RF,10,0.4148418491484185,raw
ExtraTrees,1,0.5,raw
ExtraTrees,2,0.6988110964332893,raw
ExtraTrees,3,0.4183535762483131,raw
ExtraTrees,4,0.4070695553021665,raw
ExtraTrees,5,0.5992865636147443,raw
ExtraTrees,6,0.3912133891213389,raw
ExtraTrees,7,0.6266349583828775,raw
ExtraTrees,8,0.4263959390862944,raw
ExtraTrees,9,0.6176836861768369,raw
ExtraTrees,10,0.3795620437956204,raw
LDA,1,0.5661252900232019,subject_norm
LDA,2,0.7120211360634082,subject_norm
LDA,3,0.7125506072874493,subject_norm
LDA,4,0.5860889395667047,subject_norm
LDA,5,0.6266349583828775,subject_norm
LDA,6,0.5564853556485355,subject_norm
LDA,7,0.713436385255648,subject_norm
LDA,8,0.6446700507614214,subject_norm
LDA,9,0.6338729763387297,subject_norm
LDA,10,0.44282238442822386,subject_norm
SVM,1,0.5545243619489559,subject_norm
SVM,2,0.7397622192866579,subject_norm
SVM,3,0.7139001349527665,subject_norm
SVM,4,0.5986316989737742,subject_norm
SVM,5,0.5897740784780023,subject_norm
SVM,6,0.5732217573221757,subject_norm
SVM,7,0.6718192627824019,subject_norm
SVM,8,0.5812182741116751,subject_norm
SVM,9,0.6986301369863014,subject_norm
SVM,10,0.5,subject_norm
RF,1,0.5881670533642691,subject_norm
RF,2,0.7291941875825627,subject_norm
RF,3,0.7004048582995951,subject_norm
RF,4,0.6088939566704675,subject_norm
RF,5,0.6623067776456599,subject_norm
RF,6,0.5847280334728033,subject_norm
RF,7,0.7253269916765755,subject_norm
RF,8,0.6205583756345178,subject_norm
RF,9,0.7496886674968867,subject_norm
RF,10,0.5121654501216545,subject_norm
ExtraTrees,1,0.6009280742459396,subject_norm
ExtraTrees,2,0.7239101717305152,subject_norm
ExtraTrees,3,0.7192982456140351,subject_norm
ExtraTrees,4,0.6066134549600912,subject_norm
ExtraTrees,5,0.6563614744351962,subject_norm
ExtraTrees,6,0.5847280334728033,subject_norm
ExtraTrees,7,0.7312722948870393,subject_norm
ExtraTrees,8,0.6053299492385786,subject_norm
ExtraTrees,9,0.7210460772104608,subject_norm
ExtraTrees,10,0.5012165450121655,subject_norm
