model,subject,accuracy,normalisation
LDA,1,0.5974477958236659,raw
LDA,2,0.6737120211360634,raw
LDA,3,0.6747638326585695,raw
LDA,4,0.5587229190421893,raw
LDA,5,0.5410225921521997,raw
LDA,6,0.5575313807531381,raw
LDA,7,0.6765755053507729,raw
LDA,8,0.5355329949238579,raw
LDA,9,0.572851805728518,raw
LDA,10,0.4829683698296837,raw
SVM,1,0.5336426914153132,raw
SVM,2,0.7278731836195509,raw
SVM,3,0.6261808367071525,raw
SVM,4,0.5917901938426454,raw
SVM,5,0.5101070154577884,raw
SVM,6,0.5575313807531381,raw
SVM,7,0.6361474435196195,raw
SVM,8,0.5304568527918782,raw
SVM,9,0.6338729763387297,raw
SVM,10,0.4975669099756691,raw
RF,1,0.4791183294663573,raw
RF,2,0.6922060766182299,raw
RF,3,0.5155195681511471,raw
RF,4,0.5974914481185861,raw
RF,5,0.549346016646849,raw
RF,6,0.5355648535564853,raw
RF,7,0.6373365041617123,raw
RF,8,0.5291878172588832,raw
RF,9,0.7222914072229141,raw
RF,10,0.45255474452554745,raw
ExtraTrees,1,0.4802784222737819,raw
ExtraTrees,2,0.6895640686922061,raw
ExtraTrees,3,0.5128205128205128,raw
ExtraTrees,4,0.5952109464082098,raw
ExtraTrees,5,0.5481569560047562,raw
ExtraTrees,6,0.5387029288702929,raw
ExtraTrees,7,0.6373365041617123,raw
ExtraTrees,8,0.5380710659898477,raw
ExtraTrees,9,0.6500622665006227,raw
ExtraTrees,10,0.4416058394160584,raw
LDA,1,0.5823665893271461,subject_norm
LDA,2,0.7410832232496698,subject_norm
LDA,3,0.7246963562753036,subject_norm
LDA,4,0.5838084378563284,subject_norm
LDA,5,0.652794292508918,subject_norm
LDA,6,0.5805439330543933,subject_norm
LDA,7,0.7526753864447087,subject_norm
LDA,8,0.6916243654822335,subject_norm
LDA,9,0.7023661270236613,subject_norm
LDA,10,0.4768856447688564,subject_norm
SVM,1,0.5696055684454756,subject_norm
SVM,2,0.7648612945838837,subject_norm
SVM,3,0.7584345479082322,subject_norm
SVM,4,0.6237172177879133,subject_norm
SVM,5,0.629013079667063,subject_norm
SVM,6,0.6276150627615062,subject_norm
SVM,7,0.6991676575505351,subject_norm
SVM,8,0.618020304568528,subject_norm
SVM,9,0.7247820672478207,subject_norm
SVM,10,0.5328467153284672,subject_norm
RF,1,0.5788863109048724,subject_norm
RF,2,0.7291941875825627,subject_norm
RF,3,0.7044534412955465,subject_norm
RF,4,0.6123147092360319,subject_norm
RF,5,0.6658739595719382,subject_norm
RF,6,0.5962343096234309,subject_norm
RF,7,0.7312722948870393,subject_norm
RF,8,0.5989847715736041,subject_norm
RF,9,0.7671232876712328,subject_norm
RF,10,0.5109489051094891,subject_norm
ExtraTrees,1,0.6020881670533643,subject_norm
ExtraTrees,2,0.7186261558784677,subject_norm
ExtraTrees,3,0.7368421052631579,subject_norm
ExtraTrees,4,0.6088939566704675,subject_norm
ExtraTrees,5,0.652794292508918,subject_norm
ExtraTrees,6,0.5920502092050209,subject_norm
ExtraTrees,7,0.7217598097502973,subject_norm
ExtraTrees,8,0.6142131979695431,subject_norm
ExtraTrees,9,0.7247820672478207,subject_norm
ExtraTrees,10,0.5036496350364964,subject_norm
